Махонина,маленький
Милкина,милый
Носова,нос
Панфёрова,чистый
Петрова,камень
Сысоева,беломраморный
Урывская,рвать
Цвид,цвет
Чумакова,извозчик
Артюх,здоровый
Бедусенко,беда
Беляева,светловолосый
Воробец,воробей
Городилова,ограда
Григорович,бодрствовать
Дусматова,умный
Земницкий,зимник
Кнышова,булочка
Куламиец,кулик
Литвинов,поселение
Литвинов,поселение
Максимович,величайший
Николаенко,победитель
Никонова,победитель
Новиков,новичок
Ракитин,победитель
Рыжкова,рыжеволосый
Трегубов,рассеченная губа
Усепова,рассудительный
Устенко,воин
Федоров,божий дар
Федотов,данный Богом
Чиркова,утка
Борзенко,маленький
Борисова,борющийся за славу
Высоцкий,поселение
Година,прекрасный
Горбачев,горбатый
Добриков,отзывчивый
Золотарев,ювелир
Каплаухова,капля
Кравченко,портной
Ламтева,поселение
Марыгина,пятно
Михеев,богоподобный
Нанян,добрый
Петрусенко,маленький
Прокопенко,первый
Степанова,венок
Суркичанова,здоровый
Трофимов,кормилец
Хамасуридзе,умный
Шемякова,шея
Юлин,кудрявый
Амбарцумян,сияющий в небе
Балабаева,пустомеля
Бурова,темно-русый
Долгов,высокий
Евстафьев,хорошая слава
Жукова,жук
Зарудняя,руда
Золотько,золото
Кохнюк,конь
Кумуржи,угольщик
Куркина,лесная чаща
Левая,левша
Морхова,ткань
Панкратова,всевластный
Помельников,помело
Попова,священник
Посиделова,сиделка
Припута,допускать
Прокофьева,успех
Туманова,туман
Физлахметова,сильный
Холмогорова,холмистый
Чумакова,торговец
Шандра,крапива
Авдюшкина,священнослужитель
Бабасинова,старший
Бабова,баба
Бибик,пить
Богатырёва,богатырь
Бочарова,бочка
Бочкарь,крупный
Гавриленко,мужественный
Демьяненко,уважаемый
Дубниченко,дуб
Куимчиди,большой
Ларина,веселый
Олейник,масло
Павлюков,первоверховный
Письменная,писарь
Помазкова,крещение
Самощенко,маленький
Сергеев,страж
Старюк,мудрый
Таранова,таран
Чернуха,темноволосый
Чернышов,темноволосый
Шепелькова,власть
Богачёва,изобилие
Бочковская,бочка
Вдовина,вдова
Зайцева,заяц
Ковалева,кузнец
Коротина,короткий
Маракин,пачкать
Молибогова,молитва
Петров,скала
Пономаренко,пономарь
Прилипко,липнуть
Прокофьев,успех
Скубак,щипать
Соболева,соболь
Тертычная,тертый
Уразметова,радость
Урюпина,неряха
Федоров,божий дар
Фомин,близнец
Цыбуля,лук
Якименко,поставленный богом
Аведян,новость
Алдатов,воин
Ботвинникова,зелень
Вахнина,милость
Гришмановский,приветсвующий
Евченко,известный
Жумагазиев,умный
Иванова,благодать
Клорикян,высокий
Морозова,зима
Попова,священник
Савельева,испрошенный
Синельникова,синий
Степанова,венок
Тишков,маленький
Толордава,полный
Шевцова,сапожник
Арапов,шулер
Бабаева,старик
Бестужева,морозоустойчивый
Бучкарик,задира
Войцешко,воин
Григорян,бодрствующий
Гусейнли,добросовестный
Иванов,благодать
Коваленко,кузнец
Кокотун,короткий
Кривобокова,перекошенный
Кудинова,безопасный
Лукьянова,блеск
Мацкевич,божий
Михайленко,кто как Бог
Паклина,кора
Поротникова,присягнуть
Потыка,смелый
Тесля,столяр
Чалик,связывать
Альтшулер,старая синагога
Анацкая,отмеченный милостью Божией
Асмолов,умный
Байрамова,праздник
Балановский,калина
Барбосов,борода
Бережная,беречь
Березина,береза
Браева,отец народов
Варданян,воин
Гречаниченко,гречка
Грищенко,почтальон
Долгов,высокий
Казакова,скиталец
Калинкина,победитель
Карабий,черный камень
Кичинина,гордый
